Source,d13C,d15N,Concd13C,Concd15N
Araneae,-21.45,25.17,47.32325971,12.91223056
Araneae,-19.32,22.09,47.32325971,12.91223056
Araneae,-19.84,19.71,47.32325971,12.91223056
Araneae,-16.71,19.34,47.32325971,12.91223056
Araneae,-17.78,18.87,47.32325971,12.91223056
Araneae,-13.59,18.87,47.32325971,12.91223056
Araneae,-20.55,18.66,47.32325971,12.91223056
Araneae,-17.41,17.79,47.32325971,12.91223056
Araneae,-21.78,17.55,47.32325971,12.91223056
Araneae,-16.52,16.8,47.32325971,12.91223056
Araneae,-20.53,16.79,47.32325971,12.91223056
Araneae,-13.12,16.74,47.32325971,12.91223056
Araneae,-24.18,16.38,47.32325971,12.91223056
Blattodea,-15,12.41,47.06308677,13.08778985
Blattodea,-23.9,9.92,47.06308677,13.08778985
Blattodea,-19.06,9.22,47.06308677,13.08778985
Blattodea,-22.23,8.86,47.06308677,13.08778985
Blattodea,-25.3,8.76,47.06308677,13.08778985
Blattodea,-24.9,8.64,47.06308677,13.08778985
Blattodea,-22.44,8.57,47.06308677,13.08778985
Blattodea,-24.39,8.48,47.06308677,13.08778985
Blattodea,-19.78,8.17,47.06308677,13.08778985
Blattodea,-22.38,8.15,47.06308677,13.08778985
Blattodea,-21.86,6.71,47.06308677,13.08778985
C3,-31.58,15.4,42.3674805,3.226730634
C3,-31.47,14.32,42.3674805,3.226730634
C3,-29.27,11.39,42.3674805,3.226730634
C3,-29.22,10.5,42.3674805,3.226730634
C3,-30.73,10.02,42.3674805,3.226730634
C3,-28.48,9,42.3674805,3.226730634
C3,-27.64,8.04,42.3674805,3.226730634
C3,-29.79,7.96,42.3674805,3.226730634
C3,-30.96,7.82,42.3674805,3.226730634
C3,-32.24,6.85,42.3674805,3.226730634
C3,-27.43,6.28,42.3674805,3.226730634
C3,-28.23,6.15,42.3674805,3.226730634
C3,-27.32,18.01,42.3674805,3.226730634
C3,-26.3,17.02,42.3674805,3.226730634
C3,-25.9,15.61,42.3674805,3.226730634
C3,-29.03,15.17,42.3674805,3.226730634
C3,-28.42,14.59,42.3674805,3.226730634
C3,-27.83,14.16,42.3674805,3.226730634
C3,-27.08,14.03,42.3674805,3.226730634
C3,-27.87,13.38,42.3674805,3.226730634
C3,-28.66,13.36,42.3674805,3.226730634
C3,-28.27,12.32,42.3674805,3.226730634
C3,-30.48,11.1,42.3674805,3.226730634
C3,-29.23,10.82,42.3674805,3.226730634
C3,-26.49,17.43,42.3674805,3.226730634
C3,-28.16,17.4,42.3674805,3.226730634
C3,-29.56,16.82,42.3674805,3.226730634
C3,-26.36,16.07,42.3674805,3.226730634
C3,-27.59,14.53,42.3674805,3.226730634
C3,-28.55,13.9,42.3674805,3.226730634
C3,-28.53,13.65,42.3674805,3.226730634
C3,-26.44,13.61,42.3674805,3.226730634
C3,-30.19,13.5,42.3674805,3.226730634
C3,-28.19,13.42,42.3674805,3.226730634
C3,-26.65,13.05,42.3674805,3.226730634
C3,-25.81,12.48,42.3674805,3.226730634
C3,-29.09,18.68,42.3674805,3.226730634
C3,-28.47,16.59,42.3674805,3.226730634
C3,-28.17,15.25,42.3674805,3.226730634
C3,-28.55,14.83,42.3674805,3.226730634
C3,-30.07,14.33,42.3674805,3.226730634
C3,-29.88,14.31,42.3674805,3.226730634
C3,-30.9,13.1,42.3674805,3.226730634
C3,-28.3,12.48,42.3674805,3.226730634
C3,-29.59,12.33,42.3674805,3.226730634
C3,-25.71,12,42.3674805,3.226730634
C3,-29.26,11.06,42.3674805,3.226730634
C3,-31.47,10.37,42.3674805,3.226730634
C3,-28.78,17.9,42.3674805,3.226730634
C3,-32.2,15.19,42.3674805,3.226730634
C3,-29.05,14.19,42.3674805,3.226730634
C3,-27.27,13.81,42.3674805,3.226730634
C3,-26.61,13.44,42.3674805,3.226730634
C3,-32.21,12.72,42.3674805,3.226730634
C3,-30.42,12.27,42.3674805,3.226730634
C3,-31.36,12,42.3674805,3.226730634
C3,-32.66,11.39,42.3674805,3.226730634
C3,-33.08,11,42.3674805,3.226730634
C3,-27.39,17.19,42.3674805,3.226730634
C3,-28.54,15.25,42.3674805,3.226730634
C3,-29.16,15.03,42.3674805,3.226730634
C3,-29.29,13.49,42.3674805,3.226730634
C3,-25.45,13.43,42.3674805,3.226730634
C3,-30.43,11.82,42.3674805,3.226730634
C3,-28.87,11.26,42.3674805,3.226730634
C3,-29.57,11.25,42.3674805,3.226730634
C3,-28.5,15.96,42.3674805,3.226730634
C3,-25.15,14.96,42.3674805,3.226730634
C3,-24.85,13.56,42.3674805,3.226730634
C3,-25.18,13.46,42.3674805,3.226730634
C3,-28.93,12.72,42.3674805,3.226730634
C3,-27.56,11.82,42.3674805,3.226730634
C3,-25.69,11.77,42.3674805,3.226730634
C3,-29.15,11.61,42.3674805,3.226730634
C3,-28.25,11.57,42.3674805,3.226730634
C3,-24.25,10.01,42.3674805,3.226730634
C3,-28.15,9.09,42.3674805,3.226730634
C4,-13.19,15.52,43.20140619,2.285532782
C4,-14.05,14.47,43.20140619,2.285532782
C4,-13.3,14.35,43.20140619,2.285532782
C4,-13.96,14.18,43.20140619,2.285532782
C4,-14.49,14.15,43.20140619,2.285532782
C4,-13.64,13.81,43.20140619,2.285532782
C4,-12.05,13.12,43.20140619,2.285532782
C4,-14.21,12.45,43.20140619,2.285532782
C4,-14.34,11.84,43.20140619,2.285532782
C4,-14.93,11.19,43.20140619,2.285532782
C4,-13.37,9.74,43.20140619,2.285532782
C4,-14.17,16.36,43.20140619,2.285532782
C4,-14.43,15.12,43.20140619,2.285532782
C4,-14.13,14,43.20140619,2.285532782
C4,-14.1,13.62,43.20140619,2.285532782
C4,-14.52,13.49,43.20140619,2.285532782
C4,-13.71,13.25,43.20140619,2.285532782
C4,-14.02,12.79,43.20140619,2.285532782
C4,-14.98,12.22,43.20140619,2.285532782
C4,-14.92,11.09,43.20140619,2.285532782
C4,-14.53,10.25,43.20140619,2.285532782
C4,-14.23,8.68,43.20140619,2.285532782
C4,-12.77,17.23,43.20140619,2.285532782
C4,-12.74,16.92,43.20140619,2.285532782
C4,-13.06,16.66,43.20140619,2.285532782
C4,-12.63,16.55,43.20140619,2.285532782
C4,-12.42,16.54,43.20140619,2.285532782
C4,-13.79,16.32,43.20140619,2.285532782
C4,-13.9,15.27,43.20140619,2.285532782
C4,-13.29,13.32,43.20140619,2.285532782
C4,-13.75,10,43.20140619,2.285532782
C4,-13.02,9.67,43.20140619,2.285532782
C4,-12.86,13.99,43.20140619,2.285532782
C4,-13.7,12.32,43.20140619,2.285532782
C4,-12.96,11.41,43.20140619,2.285532782
C4,-12.79,11.24,43.20140619,2.285532782
C4,-12.55,10.98,43.20140619,2.285532782
C4,-13.13,10.8,43.20140619,2.285532782
C4,-13.51,10.57,43.20140619,2.285532782
C4,-13.08,10.43,43.20140619,2.285532782
C4,-12.45,10.27,43.20140619,2.285532782
C4,-12.66,10.15,43.20140619,2.285532782
C4,-12.9,10,43.20140619,2.285532782
C4,-13.13,8.76,43.20140619,2.285532782
DIP-IXO-HYM-ISO,-23.37,15.77,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.49,15.63,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-23,14.87,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-23.13,14.76,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.95,14.56,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.93,14.55,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.7,14.31,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.34,14.19,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.89,14.11,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.44,14.09,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.82,14,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.35,13.86,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.33,13.37,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.32,13.18,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.32,19.73,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.02,19.58,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.4,17.14,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.93,16.99,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.41,16.54,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.78,15.73,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.16,15.73,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.93,15.31,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.37,15.07,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.13,14.99,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.03,14.6,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.24,11.85,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.82,19.19,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.55,18.96,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.09,17.38,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.21,16.41,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.87,16.05,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-18.93,15.83,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-18.27,15.62,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.74,15.28,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-18.4,14.83,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-24.97,13.9,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-24.77,13.41,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-24.98,12.77,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19,20.59,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.89,18.67,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.36,17.61,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-17.72,17.04,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-16.57,17.04,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.16,16.54,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.17,16.54,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.11,16.46,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-24.06,13.6,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-23.08,13.42,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.69,13.37,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-23.01,13.08,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-23.15,12.76,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.54,12.7,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.23,12.58,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.32,20.1,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.2,19.66,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.16,18.02,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.96,17.51,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-16.87,16.93,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-14.93,16.58,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-15.59,16.5,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-24.53,14.63,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-23.5,14.29,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-15.03,17.82,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-17.62,17.39,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-14.75,16.41,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.63,16.16,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-17.68,15.92,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.83,15.73,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.38,15.63,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.05,15.1,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-25.52,13.95,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.91,13.91,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.51,10.93,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-25.46,9.11,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.87,19.08,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-13.86,18.62,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-24.44,17.39,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.92,16.82,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.48,16.74,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.63,16.67,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-14.53,16.46,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.64,15.7,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.3,15.06,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.06,15.04,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-14.47,14.29,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-22.03,14.1,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.55,12.95,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.74,12.31,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.59,16.94,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-18.95,16.91,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-18.99,16.09,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.25,14.7,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.01,14.63,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.08,14.32,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.55,14.23,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.45,14.08,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-20.59,13.4,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-19.76,13.11,44.93953724,10.59874466
DIP-IXO-HYM-ISO,-21.64,12.63,44.93953724,10.59874466
LAYALB,-18.95,16.52,48.14072272,14.91008264
LAYALB,-19,14.72,48.14072272,14.91008264
LAYALB,-19.54,14.38,48.14072272,14.91008264
LAYALB,-18.84,14.01,48.14072272,14.91008264
LAYALB,-17.85,13.97,48.14072272,14.91008264
LAYALB,-18.51,13.81,48.14072272,14.91008264
LAYALB,-19.33,13.74,48.14072272,14.91008264
LAYALB,-19.11,13.63,48.14072272,14.91008264
LAYALB,-19.6,13.52,48.14072272,14.91008264
LAYALB,-19.47,13.41,48.14072272,14.91008264
LAYALB,-19.76,13.32,48.14072272,14.91008264
LAYALB,-19.67,12.22,48.14072272,14.91008264
LAYALB,-19.15,12.17,48.14072272,14.91008264
LAYALB,-19.36,11.65,48.14072272,14.91008264
LAYALB,-19.38,11.24,48.14072272,14.91008264
Lepidoptera,-27.09,23.27,50.33915217,12.13963478
Lepidoptera,-23.16,23.02,50.33915217,12.13963478
Lepidoptera,-28.26,18.87,50.33915217,12.13963478
Lepidoptera,-22.4,16.12,50.33915217,12.13963478
Lepidoptera,-21.79,14.22,50.33915217,12.13963478
Lepidoptera,-22.77,14.16,50.33915217,12.13963478
Lepidoptera,-28.56,13.92,50.33915217,12.13963478
Lepidoptera,-29.5,13.12,50.33915217,12.13963478
Lepidoptera,-18.95,12.64,50.33915217,12.13963478
Lepidoptera,-21.23,11.94,50.33915217,12.13963478
Lepidoptera,-26.02,10.41,50.33915217,12.13963478
Lepidoptera,-25.06,19.6,50.33915217,12.13963478
Lepidoptera,-26.28,18.49,50.33915217,12.13963478
Lepidoptera,-25.64,16.91,50.33915217,12.13963478
Lepidoptera,-24.09,16.74,50.33915217,12.13963478
Lepidoptera,-24.76,16.72,50.33915217,12.13963478
Lepidoptera,-26.73,16.15,50.33915217,12.13963478
Lepidoptera,-25.52,16.02,50.33915217,12.13963478
Lepidoptera,-26.25,15.86,50.33915217,12.13963478
Lepidoptera,-26.49,15.77,50.33915217,12.13963478
Lepidoptera,-28.97,15.2,50.33915217,12.13963478
Lepidoptera,-26.39,14.75,50.33915217,12.13963478
Lepidoptera,-29.29,12.81,50.33915217,12.13963478
Megaselia scalaris,-23.01,25.86,50.26445,12.92664
Megaselia scalaris,-21.61,24.17,50.26445,12.92664
Megaselia scalaris,-22.09,24.07,50.26445,12.92664
Megaselia scalaris,-19.34,23.36,50.26445,12.92664
Megaselia scalaris,-22.42,22.91,50.26445,12.92664
Megaselia scalaris,-22.74,20.23,50.26445,12.92664
Megaselia scalaris,-23.49,19.18,50.26445,12.92664
Megaselia scalaris,-23.51,18.62,50.26445,12.92664
Megaselia scalaris,-21.55,15.62,50.26445,12.92664
Megaselia scalaris,-24.43,15.34,50.26445,12.92664
